,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1399,56,Metz,Open de Moselle,2007-10-03,International,Indoor,Hard,2nd Round,3,Korolev E.,Gicquel M.,86.0,70.0,470.0,555.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.37,1.53,2.3,1.6,2.25,1.6,2.35,1.69,2.22,1.63,2007-341,Metz,Hard,32,A,2007-10-03,23,105095,,Q,Korolev E.,R,185.0,KAZ,19.627652293,86.0,470.0,102967,,,Gicquel M.,R,188.0,FRA,30.5051334702,70.0,555.0,6-4 7-6(3),3,R16,96.0,7.0,7.0,70.0,37.0,33.0,15.0,11.0,3.0,4.0,6.0,2.0,71.0,32.0,27.0,17.0,11.0,2.0,4.0
1400,56,Metz,Open de Moselle,2007-10-04,International,Indoor,Hard,2nd Round,3,Andreev I.,Lapentti N.,36.0,119.0,845.0,362.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.19,4.33,1.28,3.55,1.28,3.46,1.286,4.2,1.23,4.0,2007-341,Metz,Hard,32,A,2007-10-04,20,104214,8.0,,Andreev I.,R,185.0,RUS,24.2162902122,36.0,845.0,102839,,,Lapentti N.,R,188.0,ECU,31.1321013005,119.0,362.0,6-3 6-3,3,R16,89.0,5.0,1.0,65.0,42.0,33.0,12.0,9.0,5.0,5.0,3.0,0.0,58.0,32.0,22.0,12.0,9.0,2.0,5.0
1401,56,Metz,Open de Moselle,2007-10-04,International,Indoor,Hard,2nd Round,3,Grosjean S.,Koubek S.,68.0,60.0,556.0,600.0,7.0,5.0,6.0,7.0,2.0,4.0,,,,,1.0,1.0,Retired,1.61,2.2,1.7,2.1,1.65,2.15,1.758,2.22,1.77,2.0,2007-341,Metz,Hard,32,A,2007-10-04,18,103206,,,Grosjean S.,R,175.0,FRA,29.3415468857,68.0,556.0,102905,,,Koubek S.,L,175.0,AUT,30.7433264887,60.0,600.0,7-5 6-7(4) 2-4 DEF,3,R16,153.0,3.0,2.0,112.0,56.0,33.0,28.0,15.0,8.0,14.0,3.0,2.0,91.0,52.0,32.0,19.0,15.0,2.0,8.0
1402,56,Metz,Open de Moselle,2007-10-04,International,Indoor,Hard,2nd Round,3,Mahut N.,Benneteau J.,63.0,62.0,584.0,585.0,6.0,3.0,3.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,1.57,2.25,1.53,2.45,1.65,2.15,1.68,2.37,1.67,2.15,2007-341,Metz,Hard,32,A,2007-10-04,19,103917,,,Mahut N.,R,190.0,FRA,25.6919917864,63.0,584.0,103898,,,Benneteau J.,R,185.0,FRA,25.7796030116,62.0,585.0,6-3 3-6 6-3,3,R16,132.0,9.0,1.0,80.0,55.0,41.0,14.0,14.0,2.0,4.0,7.0,4.0,87.0,57.0,40.0,13.0,13.0,7.0,10.0
1403,56,Metz,Open de Moselle,2007-10-04,International,Indoor,Hard,2nd Round,3,Canas G.,Melzer J.,14.0,42.0,1633.0,760.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.44,2.62,1.45,2.7,1.5,2.45,1.671,2.39,1.55,2.38,2007-341,Metz,Hard,32,A,2007-10-04,24,103084,2.0,,Canas G.,R,185.0,ARG,29.8480492813,14.0,1633.0,103781,,Q,Melzer J.,L,183.0,AUT,26.3600273785,42.0,760.0,7-6(3) 7-6(6),3,R16,138.0,9.0,3.0,94.0,54.0,39.0,20.0,12.0,5.0,7.0,6.0,1.0,90.0,70.0,45.0,7.0,12.0,3.0,5.0
1404,56,Metz,Open de Moselle,2007-10-04,International,Indoor,Hard,2nd Round,3,Murray A.,Llodra M.,18.0,69.0,1340.0,556.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.3,3.4,1.33,3.2,1.35,3.1,1.37,3.5,1.3,3.4,2007-341,Metz,Hard,32,A,2007-10-04,22,104918,3.0,,Murray A.,R,190.0,GBR,20.3805612594,18.0,1340.0,103566,,,Llodra M.,L,190.0,FRA,27.370294319,69.0,556.0,6-4 6-3,3,R16,71.0,6.0,3.0,56.0,32.0,28.0,10.0,9.0,3.0,4.0,6.0,3.0,55.0,35.0,26.0,6.0,10.0,4.0,8.0
1405,57,Tokyo,AIG Japan Open Tennis Championships,2007-10-01,International Gold,Outdoor,Hard,1st Round,3,Zverev M.,Fognini F.,111.0,108.0,386.0,392.0,6.0,1.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.44,2.62,1.5,2.55,1.44,2.67,1.552,2.71,1.5,2.5,2007-329,Tokyo,Hard,48,A,2007-10-01,13,104999,,,Zverev M.,L,190.0,GER,20.1095140315,111.0,386.0,104926,,,Fognini F.,R,178.0,ITA,20.3559206023,108.0,392.0,6-1 7-6(9),3,R64,79.0,4.0,1.0,77.0,50.0,40.0,14.0,10.0,5.0,5.0,5.0,3.0,74.0,41.0,33.0,12.0,9.0,6.0,8.0
1406,57,Tokyo,AIG Japan Open Tennis Championships,2007-10-01,International Gold,Outdoor,Hard,1st Round,3,Moodie W.,Bolelli S.,157.0,91.0,274.0,456.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.61,2.2,1.6,2.3,1.55,2.35,1.68,2.37,1.55,2.38,2007-329,Tokyo,Hard,48,A,2007-10-01,1,103325,,,Moodie W.,R,196.0,RSA,28.6269678303,157.0,274.0,104620,,,Bolelli S.,R,183.0,ITA,21.9794661191,91.0,456.0,7-6(6) 7-6(8),3,R64,88.0,21.0,1.0,72.0,55.0,45.0,11.0,12.0,0.0,1.0,7.0,1.0,79.0,50.0,36.0,19.0,12.0,0.0,1.0
1407,57,Tokyo,AIG Japan Open Tennis Championships,2007-10-01,International Gold,Outdoor,Hard,1st Round,3,Capdeville P.,Gabashvili T.,101.0,94.0,414.0,437.0,7.0,6.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.72,2.0,1.8,1.95,1.7,2.1,1.813,2.13,1.86,1.9,2007-329,Tokyo,Hard,48,A,2007-10-01,4,104154,,,Capdeville P.,R,190.0,CHI,24.4982888433,101.0,414.0,104559,,,Gabashvili T.,R,188.0,RUS,22.3572895277,94.0,437.0,7-6(4) 7-5,3,R64,94.0,3.0,2.0,83.0,65.0,50.0,8.0,12.0,4.0,4.0,12.0,2.0,81.0,54.0,42.0,12.0,12.0,5.0,6.0
1408,57,Tokyo,AIG Japan Open Tennis Championships,2007-10-01,International Gold,Outdoor,Hard,1st Round,3,Fleishman Z.,Nishikori K.,145.0,253.0,302.0,150.0,7.0,6.0,3.0,6.0,6.0,1.0,,,,,2.0,1.0,Completed,1.83,1.83,1.88,1.88,,,2.02,1.893,1.94,1.82,2007-329,Tokyo,Hard,48,A,2007-10-01,12,103530,,,Fleishman Z.,R,188.0,USA,27.5400410678,145.0,302.0,105453,,WC,Nishikori K.,R,178.0,JPN,17.7549623546,253.0,150.0,7-6(5) 3-6 6-1,3,R64,104.0,9.0,2.0,88.0,45.0,27.0,28.0,14.0,4.0,7.0,7.0,6.0,87.0,56.0,43.0,12.0,14.0,2.0,6.0
