,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
558,22,Houston,U.S. Men's Clay Court Championships,2008-04-14,International,Outdoor,Clay,1st Round,3,Harrison R.,Cuevas P.,1277.0,95.0,3.0,450.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,4.5,1.16,5.2,1.15,,,5.35,1.211,5.2,1.15,2008-717,Houston,Clay,32,A,2008-04-14,2,105992,,Q,Harrison R.,R,183.0,USA,15.9370294319,1277.0,3.0,104655,,,Cuevas P.,R,180.0,URU,22.2833675565,95.0,450.0,6-4 6-3,3,R32,58.0,6.0,1.0,49.0,29.0,22.0,11.0,10.0,1.0,3.0,1.0,2.0,51.0,29.0,18.0,10.0,9.0,2.0,6.0
559,22,Houston,U.S. Men's Clay Court Championships,2008-04-15,International,Outdoor,Clay,1st Round,3,Sela D.,Ginepri R.,60.0,88.0,588.0,465.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.25,1.57,2.15,1.65,2.25,1.571,2.38,1.676,2.1,1.7,2008-717,Houston,Clay,32,A,2008-04-15,13,104534,6.0,,Sela D.,R,175.0,ISR,23.0280629706,60.0,588.0,104068,,,Ginepri R.,R,183.0,USA,25.5195071869,88.0,465.0,7-6(5) 6-2,3,R32,86.0,4.0,3.0,74.0,48.0,32.0,12.0,10.0,5.0,7.0,1.0,2.0,70.0,49.0,29.0,10.0,10.0,3.0,7.0
560,22,Houston,U.S. Men's Clay Court Championships,2008-04-15,International,Outdoor,Clay,1st Round,3,Roitman S.,Isner J.,76.0,81.0,507.0,487.0,3.0,6.0,7.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,1.44,2.62,1.48,2.53,1.444,2.625,1.476,2.9,1.38,2.95,2008-717,Houston,Clay,32,A,2008-04-15,15,103373,,,Roitman S.,R,185.0,ARG,28.9144421629,76.0,507.0,104545,,,Isner J.,R,206.0,USA,22.9678302533,81.0,487.0,3-6 7-6(6) 6-3,3,R32,132.0,3.0,0.0,92.0,66.0,51.0,13.0,14.0,6.0,7.0,12.0,1.0,108.0,70.0,47.0,23.0,16.0,8.0,10.0
561,22,Houston,U.S. Men's Clay Court Championships,2008-04-15,International,Outdoor,Clay,1st Round,3,Granollers M.,Gulbis E.,84.0,85.0,478.0,476.0,6.0,2.0,6.0,0.0,,,,,,,2.0,0.0,Completed,1.9,1.8,1.87,1.87,1.83,1.83,1.923,1.98,1.84,1.92,2008-717,Houston,Clay,32,A,2008-04-15,9,104719,7.0,,Granollers M.,R,190.0,ESP,22.006844627,84.0,478.0,105208,,,Gulbis E.,R,190.0,LAT,19.6221765914,85.0,476.0,6-2 6-0,3,R32,50.0,0.0,6.0,41.0,22.0,20.0,9.0,7.0,0.0,0.0,0.0,4.0,36.0,19.0,8.0,6.0,7.0,2.0,7.0
562,22,Houston,U.S. Men's Clay Court Championships,2008-04-15,International,Outdoor,Clay,1st Round,3,Calleri A.,Spadea V.,53.0,90.0,680.0,463.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.4,2.75,1.45,2.6,1.364,3.0,1.356,3.61,1.35,3.1,2008-717,Houston,Clay,32,A,2008-04-15,4,102860,5.0,,Calleri A.,R,183.0,ARG,31.5811088296,53.0,680.0,102434,,,Spadea V.,R,183.0,USA,33.7385352498,90.0,463.0,6-4 6-3,3,R32,82.0,4.0,4.0,68.0,27.0,20.0,23.0,9.0,3.0,4.0,0.0,4.0,62.0,39.0,24.0,9.0,10.0,4.0,8.0
563,22,Houston,U.S. Men's Clay Court Championships,2008-04-15,International,Outdoor,Clay,1st Round,3,Fish M.,Schuettler R.,42.0,87.0,795.0,472.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.33,3.25,1.34,3.12,1.333,3.25,1.391,3.36,1.4,2.85,2008-717,Houston,Clay,32,A,2008-04-15,5,103888,3.0,,Fish M.,R,188.0,USA,26.3463381246,42.0,795.0,102783,,,Schuettler R.,R,180.0,GER,31.9698836413,87.0,472.0,7-6(4) 6-3,3,R32,82.0,11.0,3.0,62.0,32.0,27.0,20.0,11.0,0.0,1.0,2.0,3.0,66.0,42.0,32.0,8.0,10.0,3.0,5.0
564,22,Houston,U.S. Men's Clay Court Championships,2008-04-16,International,Outdoor,Clay,1st Round,3,Kunitsyn I.,Haas T.,111.0,36.0,382.0,895.0,5.0,7.0,6.0,4.0,6.0,4.0,,,,,2.0,1.0,Completed,3.5,1.28,3.35,1.3,3.25,1.333,3.37,1.389,3.1,1.35,2008-717,Houston,Clay,32,A,2008-04-16,16,103857,,,Kunitsyn I.,R,180.0,RUS,26.5379876797,111.0,382.0,103163,2.0,,Haas T.,R,188.0,GER,30.0314852841,36.0,895.0,5-7 6-4 6-4,3,R32,168.0,1.0,6.0,111.0,68.0,40.0,21.0,16.0,9.0,15.0,7.0,12.0,129.0,63.0,36.0,31.0,16.0,8.0,15.0
565,22,Houston,U.S. Men's Clay Court Championships,2008-04-16,International,Outdoor,Clay,1st Round,3,Capdeville P.,Hartfield D.,115.0,137.0,378.0,323.0,6.0,0.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.2,1.61,2.15,1.65,2.2,1.615,2.53,1.613,2.2,1.63,2008-717,Houston,Clay,32,A,2008-04-16,3,104154,,,Capdeville P.,R,190.0,CHI,25.0349075975,115.0,378.0,103701,,Q,Hartfield D.,R,185.0,ARG,27.2005475702,137.0,323.0,6-0 6-4,3,R32,98.0,1.0,3.0,90.0,43.0,26.0,23.0,8.0,17.0,19.0,0.0,1.0,48.0,34.0,16.0,3.0,8.0,1.0,7.0
566,22,Houston,U.S. Men's Clay Court Championships,2008-04-16,International,Outdoor,Clay,1st Round,3,Daniel M.,Troicki V.,91.0,105.0,462.0,418.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.0,1.72,1.95,1.8,2.0,1.727,2.11,1.826,2.0,1.75,2008-717,Houston,Clay,32,A,2008-04-16,11,103228,,,Daniel M.,R,180.0,BRA,29.7796030116,91.0,462.0,104678,,,Troicki V.,R,193.0,SRB,22.173853525,105.0,418.0,6-3 6-4,3,R32,83.0,4.0,2.0,53.0,36.0,29.0,12.0,10.0,2.0,2.0,4.0,0.0,57.0,40.0,25.0,11.0,9.0,4.0,6.0
567,22,Houston,U.S. Men's Clay Court Championships,2008-04-16,International,Outdoor,Clay,1st Round,3,Luczak P.,Levy H.,83.0,167.0,483.0,249.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.4,2.75,1.45,2.6,1.444,2.625,1.488,2.85,1.35,3.1,2008-717,Houston,Clay,32,A,2008-04-16,10,103429,,,Luczak P.,R,183.0,AUS,28.6214921287,83.0,483.0,103248,,Q,Levy H.,R,185.0,ISR,29.6919917864,167.0,249.0,6-4 6-4,3,R32,84.0,3.0,3.0,69.0,44.0,30.0,14.0,10.0,12.0,13.0,4.0,3.0,57.0,30.0,23.0,13.0,10.0,2.0,5.0
568,22,Houston,U.S. Men's Clay Court Championships,2008-04-16,International,Outdoor,Clay,1st Round,3,Massu N.,Querrey S.,108.0,50.0,406.0,718.0,5.0,7.0,6.0,4.0,6.0,4.0,,,,,2.0,1.0,Completed,1.8,1.9,1.87,1.87,1.727,2.0,1.833,2.1,1.8,1.96,2008-717,Houston,Clay,32,A,2008-04-16,12,103454,,,Massu N.,R,183.0,CHI,28.5119780972,108.0,406.0,105023,4.0,,Querrey S.,R,198.0,USA,20.5201916496,50.0,718.0,5-7 6-4 6-4,3,R32,168.0,4.0,3.0,98.0,68.0,47.0,15.0,16.0,3.0,7.0,8.0,8.0,121.0,54.0,37.0,31.0,16.0,15.0,20.0
569,22,Houston,U.S. Men's Clay Court Championships,2008-04-17,International,Outdoor,Clay,1st Round,3,Blake J.,Nishikori K.,8.0,116.0,1900.0,378.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.07,7.5,1.26,3.59,1.25,3.75,1.25,4.6,1.24,3.9,2008-717,Houston,Clay,32,A,2008-04-17,1,103484,1.0,,Blake J.,R,185.0,USA,28.295687885,8.0,1900.0,105453,,WC,Nishikori K.,R,178.0,JPN,18.2915811088,116.0,378.0,6-4 6-4,3,R32,87.0,4.0,0.0,59.0,30.0,19.0,18.0,10.0,2.0,4.0,4.0,2.0,84.0,43.0,22.0,22.0,10.0,7.0,11.0
570,22,Houston,U.S. Men's Clay Court Championships,2008-04-16,International,Outdoor,Clay,2nd Round,3,Hernandez O.,Young D.,73.0,79.0,517.0,501.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.8,1.9,1.9,1.85,1.909,1.8,2.26,1.735,1.82,1.95,2008-717,Houston,Clay,32,A,2008-04-16,20,103169,8.0,,Hernandez O.,R,180.0,ESP,30.0123203285,73.0,517.0,105385,,,Young D.,L,183.0,USA,18.726899384,79.0,501.0,6-4 6-4,3,R16,96.0,4.0,3.0,66.0,46.0,36.0,10.0,10.0,6.0,6.0,2.0,1.0,75.0,48.0,30.0,13.0,10.0,7.0,9.0
571,22,Houston,U.S. Men's Clay Court Championships,2008-04-17,International,Outdoor,Clay,2nd Round,3,Fish M.,Armando H.,42.0,205.0,795.0,192.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.33,3.25,1.42,2.75,1.333,3.25,1.441,3.07,1.35,3.1,2008-717,Houston,Clay,32,A,2008-04-17,19,103888,3.0,,Fish M.,R,188.0,USA,26.3463381246,42.0,795.0,103204,,WC,Armando H.,R,183.0,USA,29.8836413415,205.0,192.0,6-3 6-2,3,R16,79.0,9.0,2.0,66.0,37.0,28.0,14.0,9.0,5.0,6.0,0.0,4.0,54.0,33.0,18.0,10.0,8.0,3.0,7.0
572,22,Houston,U.S. Men's Clay Court Championships,2008-04-17,International,Outdoor,Clay,2nd Round,3,Granollers M.,Luczak P.,84.0,83.0,478.0,483.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.44,2.62,1.5,2.45,1.5,2.5,1.52,2.78,1.5,2.52,2008-717,Houston,Clay,32,A,2008-04-17,21,104719,7.0,,Granollers M.,R,190.0,ESP,22.006844627,84.0,478.0,103429,,,Luczak P.,R,183.0,AUS,28.6214921287,83.0,483.0,6-3 6-2,3,R16,91.0,4.0,3.0,70.0,41.0,25.0,17.0,9.0,7.0,8.0,0.0,1.0,52.0,33.0,16.0,9.0,8.0,3.0,7.0
573,22,Houston,U.S. Men's Clay Court Championships,2008-04-17,International,Outdoor,Clay,2nd Round,3,Odesnik W.,Sela D.,117.0,60.0,373.0,588.0,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.66,2.1,1.67,2.12,1.727,2.0,1.87,2.05,1.67,2.15,2008-717,Houston,Clay,32,A,2008-04-17,23,104639,,,Odesnik W.,L,180.0,USA,22.3956194387,117.0,373.0,104534,6.0,,Sela D.,R,175.0,ISR,23.0280629706,60.0,588.0,6-3 7-5,3,R16,83.0,1.0,1.0,64.0,38.0,27.0,14.0,11.0,3.0,5.0,0.0,2.0,59.0,28.0,17.0,14.0,10.0,5.0,9.0
574,22,Houston,U.S. Men's Clay Court Championships,2008-04-17,International,Outdoor,Clay,2nd Round,3,Daniel M.,Massu N.,91.0,108.0,462.0,406.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.83,1.83,1.85,1.9,1.833,1.833,2.0,1.909,1.84,1.92,2008-717,Houston,Clay,32,A,2008-04-17,22,103228,,,Daniel M.,R,180.0,BRA,29.7796030116,91.0,462.0,103454,,,Massu N.,R,183.0,CHI,28.5119780972,108.0,406.0,7-6(3) 6-2,3,R16,111.0,3.0,0.0,78.0,53.0,41.0,13.0,10.0,4.0,4.0,2.0,3.0,65.0,36.0,25.0,16.0,10.0,4.0,6.0
575,22,Houston,U.S. Men's Clay Court Championships,2008-04-17,International,Outdoor,Clay,2nd Round,3,Roitman S.,Kunitsyn I.,76.0,111.0,507.0,382.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.5,2.5,1.5,2.45,1.5,2.5,1.565,2.67,1.48,2.57,2008-717,Houston,Clay,32,A,2008-04-17,24,103373,,,Roitman S.,R,185.0,ARG,28.9144421629,76.0,507.0,103857,,,Kunitsyn I.,R,180.0,RUS,26.5379876797,111.0,382.0,6-3 7-6(3),3,R16,115.0,0.0,3.0,72.0,52.0,31.0,12.0,10.0,4.0,7.0,1.0,1.0,85.0,56.0,32.0,12.0,11.0,10.0,15.0
576,22,Houston,U.S. Men's Clay Court Championships,2008-04-17,International,Outdoor,Clay,2nd Round,3,Calleri A.,Capdeville P.,53.0,115.0,680.0,378.0,6.0,2.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.37,2.92,1.4,2.75,1.38,3.43,1.35,3.1,2008-717,Houston,Clay,32,A,2008-04-17,18,102860,5.0,,Calleri A.,R,183.0,ARG,31.5811088296,53.0,680.0,104154,,,Capdeville P.,R,190.0,CHI,25.0349075975,115.0,378.0,6-2 6-1,3,R16,59.0,4.0,5.0,51.0,25.0,23.0,14.0,8.0,1.0,1.0,0.0,1.0,53.0,33.0,19.0,6.0,7.0,11.0,15.0
577,23,Valencia,Open de Tenis Comunidad Valenciana,2008-04-14,International,Outdoor,Clay,1st Round,3,Monfils G.,Gonzalez M.,63.0,135.0,577.0,326.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.2,4.33,1.2,4.25,1.167,4.5,1.225,5.05,1.22,4.1,2008-573,Valencia,Clay,32,A,2008-04-14,7,104792,,,Monfils G.,R,193.0,FRA,21.6180698152,63.0,577.0,104216,,,Gonzalez M.,R,175.0,ARG,24.7364818617,135.0,326.0,6-3 6-4,3,R32,89.0,5.0,1.0,49.0,29.0,21.0,13.0,9.0,2.0,4.0,0.0,3.0,74.0,39.0,22.0,16.0,10.0,10.0,15.0
578,23,Valencia,Open de Tenis Comunidad Valenciana,2008-04-14,International,Outdoor,Clay,1st Round,3,Zverev M.,Horna L.,75.0,106.0,509.0,411.0,6.0,3.0,6.0,7.0,6.0,4.0,,,,,2.0,1.0,Completed,3.5,1.28,3.35,1.3,3.0,1.364,3.45,1.377,3.2,1.33,2008-573,Valencia,Clay,32,A,2008-04-14,3,104999,,,Zverev M.,L,190.0,GER,20.6461327858,75.0,509.0,103632,,,Horna L.,R,180.0,PER,27.5811088296,106.0,411.0,6-3 6-7(5) 6-4,3,R32,132.0,9.0,1.0,90.0,65.0,50.0,16.0,15.0,2.0,2.0,3.0,2.0,113.0,87.0,62.0,10.0,16.0,11.0,14.0
579,23,Valencia,Open de Tenis Comunidad Valenciana,2008-04-15,International,Outdoor,Clay,1st Round,3,Ventura S.,Marrero D.,80.0,270.0,488.0,134.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.4,2.85,1.4,2.75,1.433,3.11,1.42,2.77,2008-573,Valencia,Clay,32,A,2008-04-15,6,103490,,,Ventura S.,R,183.0,ESP,28.2737850787,80.0,488.0,103543,,Q,Marrero D.,R,185.0,ESP,28.0164271047,270.0,134.0,7-6(3) 7-6(6),3,R32,152.0,7.0,0.0,89.0,44.0,34.0,26.0,12.0,2.0,3.0,5.0,1.0,96.0,63.0,45.0,17.0,12.0,3.0,4.0
