,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
392,21,Houston,U.S. Men's Clay Court Championships,2016-04-05,ATP250,Outdoor,Clay,1st Round,3,Becker B.,Berrer M.,97.0,109.0,586.0,533.0,7.0,6.0,6.0,0.0,,,,,,,2.0,0.0,Completed,1.53,2.37,1.52,2.3,1.57,2.38,1.67,2.33,1.67,2.5,1.58,2.34,2016-0717,Houston,Clay,32,A,2016-04-05,272,103794,,,Becker B.,R,178.0,GER,34.8008213552,97.0,586.0,103582,,,Berrer M.,L,193.0,GER,35.7590691307,109.0,533.0,7-6(6) 6-0,3,R32,73.0,5.0,2.0,52.0,28.0,23.0,16.0,9.0,0.0,1.0,4.0,1.0,61.0,45.0,27.0,7.0,9.0,2.0,6.0
393,21,Houston,U.S. Men's Clay Court Championships,2016-04-05,ATP250,Outdoor,Clay,1st Round,3,Barton M.,Tiafoe F.,270.0,174.0,190.0,317.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.5,1.5,2.45,1.48,2.38,1.57,2.31,1.68,2.6,1.68,2.4,1.56,2016-0717,Houston,Clay,32,A,2016-04-05,280,105881,,Q,Barton M.,R,,AUS,24.295687885,270.0,190.0,126207,,WC,Tiafoe F.,R,,USA,18.2039698836,174.0,317.0,6-3 6-4,3,R32,63.0,9.0,1.0,57.0,32.0,27.0,12.0,10.0,3.0,4.0,4.0,5.0,58.0,35.0,22.0,12.0,9.0,2.0,5.0
394,21,Houston,U.S. Men's Clay Court Championships,2016-04-05,ATP250,Outdoor,Clay,1st Round,3,Lacko L.,Tursunov D.,114.0,496.0,522.0,75.0,6.0,1.0,7.0,5.0,,,,,,,2.0,0.0,Completed,3.0,1.36,2.9,1.33,3.0,1.4,3.39,1.36,3.39,1.44,3.06,1.36,2016-0717,Houston,Clay,32,A,2016-04-05,275,105041,,,Lacko L.,R,185.0,SVK,28.4188911704,114.0,522.0,104098,,PR,Tursunov D.,R,185.0,RUS,33.311430527,496.0,75.0,6-1 7-5,3,R32,83.0,7.0,1.0,59.0,35.0,25.0,12.0,9.0,2.0,3.0,3.0,2.0,63.0,37.0,23.0,11.0,10.0,7.0,12.0
395,21,Houston,U.S. Men's Clay Court Championships,2016-04-06,ATP250,Outdoor,Clay,1st Round,3,Verdasco F.,Berlocq C.,77.0,154.0,705.0,375.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.5,2.5,1.48,2.45,1.5,2.62,1.55,2.61,1.57,2.65,1.52,2.49,2016-0717,Houston,Clay,32,A,2016-04-06,279,104269,,,Verdasco F.,L,188.0,ESP,32.386036961,77.0,705.0,104122,,Q,Berlocq C.,R,183.0,ARG,33.1663244353,154.0,375.0,6-4 6-3,3,R32,100.0,4.0,2.0,55.0,27.0,21.0,14.0,9.0,2.0,4.0,1.0,3.0,78.0,59.0,32.0,10.0,10.0,9.0,14.0
396,21,Houston,U.S. Men's Clay Court Championships,2016-04-06,ATP250,Outdoor,Clay,2nd Round,3,Monaco J.,Paire B.,148.0,22.0,390.0,1596.0,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.61,2.2,1.68,2.05,1.67,2.2,1.65,2.39,1.71,2.39,1.66,2.2,2016-0717,Houston,Clay,32,A,2016-04-06,286,104338,,,Monaco J.,R,185.0,ARG,32.0164271047,148.0,390.0,105332,2.0,,Paire B.,R,196.0,FRA,26.9075975359,22.0,1596.0,6-3 7-5,3,R16,93.0,0.0,2.0,82.0,61.0,41.0,10.0,11.0,10.0,12.0,1.0,6.0,71.0,25.0,17.0,20.0,10.0,7.0,11.0
397,21,Houston,U.S. Men's Clay Court Championships,2016-04-06,ATP250,Outdoor,Clay,2nd Round,3,Querrey S.,Becker B.,35.0,97.0,1195.0,586.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.33,3.25,1.28,3.2,1.3,3.5,1.31,3.81,1.36,3.81,1.3,3.45,2016-0717,Houston,Clay,32,A,2016-04-06,287,105023,5.0,,Querrey S.,R,198.0,USA,28.4928131417,35.0,1195.0,103794,,,Becker B.,R,178.0,GER,34.8008213552,97.0,586.0,6-3 6-3,3,R16,50.0,13.0,0.0,50.0,33.0,28.0,10.0,9.0,2.0,2.0,7.0,0.0,46.0,36.0,23.0,3.0,9.0,0.0,3.0
398,21,Houston,U.S. Men's Clay Court Championships,2016-04-07,ATP250,Outdoor,Clay,2nd Round,3,Isner J.,Kudla D.,15.0,59.0,2235.0,789.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.22,4.0,1.18,4.0,1.25,4.0,1.24,4.61,1.29,4.63,1.22,4.2,2016-0717,Houston,Clay,32,A,2016-04-07,293,104545,1.0,,Isner J.,R,206.0,USA,30.9404517454,15.0,2235.0,106045,,,Kudla D.,R,180.0,USA,23.6303901437,59.0,789.0,7-6(2) 7-6(4),3,R16,96.0,24.0,2.0,73.0,47.0,42.0,16.0,12.0,0.0,0.0,9.0,1.0,80.0,48.0,37.0,21.0,12.0,3.0,3.0
399,21,Houston,U.S. Men's Clay Court Championships,2016-04-07,ATP250,Outdoor,Clay,2nd Round,3,Chung H.,Paul T.,71.0,200.0,726.0,262.0,5.0,7.0,6.0,2.0,6.0,2.0,,,,,2.0,1.0,Completed,1.66,2.1,1.65,2.1,1.73,2.1,1.61,2.47,1.8,2.5,1.67,2.18,2016-0717,Houston,Clay,32,A,2016-04-07,292,111202,,,Chung H.,R,,KOR,19.8767967146,71.0,726.0,126205,,WC,Paul T.,R,,USA,18.8829568789,200.0,262.0,5-7 6-2 6-2,3,R16,115.0,2.0,1.0,77.0,56.0,42.0,13.0,14.0,1.0,3.0,3.0,4.0,87.0,50.0,37.0,11.0,14.0,3.0,8.0
400,21,Houston,U.S. Men's Clay Court Championships,2016-04-07,ATP250,Outdoor,Clay,2nd Round,3,Smyczek T.,Young D.,125.0,85.0,471.0,657.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.5,1.5,2.35,1.52,2.5,1.53,2.87,1.48,2.87,1.6,2.53,1.51,2016-0717,Houston,Clay,32,A,2016-04-07,289,105065,,WC,Smyczek T.,R,175.0,USA,28.2628336756,125.0,471.0,105385,,,Young D.,L,183.0,USA,26.6995208761,85.0,657.0,6-2 6-4,3,R16,56.0,4.0,1.0,45.0,36.0,27.0,5.0,9.0,0.0,1.0,1.0,3.0,54.0,31.0,17.0,13.0,9.0,3.0,7.0
401,21,Houston,U.S. Men's Clay Court Championships,2016-04-07,ATP250,Outdoor,Clay,2nd Round,3,Lopez F.,Lacko L.,24.0,114.0,1540.0,522.0,7.0,6.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.2,4.33,1.22,3.8,1.22,4.33,1.19,5.42,1.26,5.42,1.21,4.36,2016-0717,Houston,Clay,32,A,2016-04-07,288,103852,3.0,,Lopez F.,L,188.0,ESP,34.5379876797,24.0,1540.0,105041,,,Lacko L.,R,185.0,SVK,28.4188911704,114.0,522.0,7-6(4) 6-1,3,R16,85.0,3.0,1.0,54.0,31.0,27.0,17.0,10.0,1.0,2.0,4.0,5.0,72.0,38.0,29.0,13.0,9.0,5.0,8.0
