,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
0,1,Brisbane,Brisbane International,2017-01-01,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Ymer E.,79,160.0,689,372.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.28,3.5,1.22,3.5,1.3,3.5,1.31,3.73,1.33,3.9,1.29,3.5,2017-M020,Brisbane,Hard,32,A,2017-01-01,276,111442,,WC,Thompson J.,R,,AUS,22.7049965777,79.0,689.0,111200,,WC,Ymer E.,R,,SWE,20.7310061602,160.0,372.0,6-3 6-2,3,R32,90.0,1.0,0.0,46.0,28.0,26.0,6.0,8.0,1.0,2.0,1.0,6.0,74.0,43.0,23.0,13.0,9.0,10.0,15.0
1,1,Brisbane,Brisbane International,2017-01-02,ATP250,Outdoor,Hard,1st Round,3,Mahut N.,Robert S.,39,54.0,1102,854.0,4.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,1.5,2.5,1.45,2.35,1.53,2.5,1.58,2.52,1.59,2.55,1.54,2.43,2017-M020,Brisbane,Hard,32,A,2017-01-02,279,103917,,,Mahut N.,R,190.0,FRA,34.9486652977,39.0,1102.0,103565,,,Robert S.,R,185.0,FRA,36.629705681,54.0,854.0,4-6 6-3 6-4,3,R32,120.0,13.0,3.0,86.0,55.0,42.0,17.0,15.0,2.0,4.0,9.0,8.0,94.0,46.0,29.0,30.0,14.0,9.0,12.0
2,1,Brisbane,Brisbane International,2017-01-02,ATP250,Outdoor,Hard,1st Round,3,Ferrer D.,Tomic B.,21,26.0,1785,1465.0,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.9,1.8,1.88,1.75,2.0,1.8,2.1,1.81,2.15,1.82,2.01,1.77,2017-M020,Brisbane,Hard,32,A,2017-01-02,277,103970,8.0,,Ferrer D.,R,175.0,ESP,34.7542778919,21.0,1785.0,106071,,,Tomic B.,R,193.0,AUS,24.1998631075,26.0,1465.0,6-3 7-5,3,R32,83.0,3.0,5.0,52.0,30.0,25.0,12.0,10.0,2.0,3.0,5.0,8.0,74.0,44.0,29.0,12.0,11.0,5.0,9.0
3,1,Brisbane,Brisbane International,2017-01-02,ATP250,Outdoor,Hard,1st Round,3,Edmund K.,Escobedo E.,45,141.0,1001,443.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.35,2.75,1.4,3.0,1.42,3.09,1.42,3.25,1.37,3.01,2017-M020,Brisbane,Hard,32,A,2017-01-02,272,106378,,,Edmund K.,R,,GBR,21.9849418207,45.0,1001.0,124014,,Q,Escobedo E.,R,,USA,20.4982888433,141.0,443.0,7-6(4) 7-6(6),3,R32,130.0,11.0,2.0,83.0,48.0,37.0,19.0,12.0,2.0,3.0,11.0,3.0,113.0,67.0,39.0,27.0,12.0,9.0,10.0
4,1,Brisbane,Brisbane International,2017-01-02,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Johnson S.,17,33.0,2035,1320.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.4,2.75,1.38,2.65,1.4,3.0,1.41,3.13,1.46,3.13,1.41,2.85,2017-M020,Brisbane,Hard,32,A,2017-01-02,278,105777,7.0,,Dimitrov G.,R,188.0,BUL,25.6344969199,17.0,2035.0,105449,,,Johnson S.,R,188.0,USA,27.0253251198,33.0,1320.0,6-2 6-3,3,R32,75.0,3.0,0.0,48.0,25.0,23.0,12.0,9.0,0.0,1.0,2.0,3.0,57.0,36.0,21.0,7.0,8.0,4.0,8.0
5,1,Brisbane,Brisbane International,2017-01-03,ATP250,Outdoor,Hard,1st Round,3,Donaldson J.,Muller G.,105,34.0,570,1255.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.62,1.44,2.5,1.4,2.62,1.5,2.74,1.51,2.75,1.51,2.64,1.47,2017-M020,Brisbane,Hard,32,A,2017-01-03,275,111577,,Q,Donaldson J.,R,,USA,20.2327173169,105.0,570.0,104180,,,Muller G.,L,193.0,LUX,33.6536618754,34.0,1255.0,6-4 6-4,3,R32,75.0,12.0,2.0,55.0,33.0,27.0,13.0,10.0,0.0,1.0,10.0,2.0,58.0,37.0,27.0,7.0,10.0,2.0,5.0
6,1,Brisbane,Brisbane International,2017-01-03,ATP250,Outdoor,Hard,1st Round,3,Pouille L.,Simon G.,15,25.0,2156,1585.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.8,1.9,1.75,1.85,1.91,1.91,1.93,1.95,1.93,2.0,1.83,1.94,2017-M020,Brisbane,Hard,32,A,2017-01-03,273,106298,6.0,,Pouille L.,R,,FRA,22.8583162218,15.0,2156.0,104468,,,Simon G.,R,183.0,FRA,32.0164271047,25.0,1585.0,7-6(6) 7-6(4),3,R32,125.0,7.0,2.0,102.0,52.0,37.0,24.0,12.0,8.0,12.0,1.0,4.0,76.0,42.0,29.0,16.0,12.0,0.0,4.0
7,1,Brisbane,Brisbane International,2017-01-03,ATP250,Outdoor,Hard,1st Round,3,Troicki V.,Nishioka Y.,29,100.0,1385,604.0,6.0,4.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.5,2.5,1.45,2.4,1.5,2.5,1.54,2.62,1.54,2.85,1.49,2.57,2017-M020,Brisbane,Hard,32,A,2017-01-03,271,104678,,,Troicki V.,R,193.0,SRB,30.893908282,29.0,1385.0,106415,,Q,Nishioka Y.,L,,JPN,21.2676249144,100.0,604.0,6-4 7-5,3,R32,91.0,11.0,5.0,64.0,45.0,35.0,6.0,11.0,1.0,3.0,0.0,1.0,82.0,53.0,33.0,13.0,11.0,6.0,10.0
8,1,Brisbane,Brisbane International,2017-01-03,ATP250,Outdoor,Hard,1st Round,3,Zverev M.,De Minaur A.,51,351.0,874,132.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.44,2.62,1.38,2.6,1.5,2.62,1.49,2.8,1.5,2.8,1.45,2.7,2017-M020,Brisbane,Hard,32,A,2017-01-03,283,104999,,,Zverev M.,L,190.0,GER,29.3661875428,51.0,874.0,200282,,Q,De Minaur A.,R,,AUS,17.8754277892,351.0,132.0,6-3 6-3,3,R32,67.0,3.0,3.0,57.0,42.0,30.0,9.0,9.0,2.0,2.0,2.0,4.0,46.0,26.0,14.0,12.0,9.0,0.0,3.0
9,1,Brisbane,Brisbane International,2017-01-04,ATP250,Outdoor,Hard,2nd Round,3,Nishikori K.,Donaldson J.,5,105.0,4905,570.0,4.0,6.0,6.0,4.0,6.0,3.0,,,,,2.0,1.0,Completed,1.1,7.0,1.11,4.8,1.12,6.0,1.12,7.58,1.14,7.58,1.11,6.37,2017-M020,Brisbane,Hard,32,A,2017-01-04,288,105453,3.0,,Nishikori K.,R,178.0,JPN,27.0116358658,5.0,4905.0,111577,,Q,Donaldson J.,R,,USA,20.2327173169,105.0,570.0,4-6 6-4 6-3,3,R16,143.0,3.0,3.0,107.0,66.0,47.0,18.0,15.0,4.0,8.0,6.0,4.0,95.0,54.0,32.0,20.0,14.0,8.0,13.0
10,1,Brisbane,Brisbane International,2017-01-04,ATP250,Outdoor,Hard,2nd Round,3,Thompson J.,Ferrer D.,79,21.0,689,1785.0,4.0,6.0,7.0,5.0,7.0,5.0,,,,,2.0,1.0,Completed,4.5,1.18,3.8,1.18,4.5,1.2,4.93,1.22,5.0,1.23,4.46,1.2,2017-M020,Brisbane,Hard,32,A,2017-01-04,289,111442,,WC,Thompson J.,R,,AUS,22.7049965777,79.0,689.0,103970,8.0,,Ferrer D.,R,175.0,ESP,34.7542778919,21.0,1785.0,4-6 7-5 7-5,3,R16,158.0,5.0,2.0,103.0,65.0,49.0,18.0,17.0,4.0,7.0,2.0,4.0,103.0,64.0,42.0,23.0,17.0,5.0,9.0
11,1,Brisbane,Brisbane International,2017-01-04,ATP250,Outdoor,Hard,2nd Round,3,Edmund K.,Pouille L.,45,15.0,1001,2156.0,6.0,3.0,3.0,1.0,,,,,,,1.0,0.0,Retired,2.62,1.44,2.35,1.48,2.5,1.53,2.6,1.56,2.75,1.57,2.51,1.51,2017-M020,Brisbane,Hard,32,A,2017-01-04,287,106378,,,Edmund K.,R,,GBR,21.9849418207,45.0,1001.0,106298,6.0,,Pouille L.,R,,FRA,22.8583162218,15.0,2156.0,6-3 3-1 RET,3,R16,59.0,6.0,1.0,44.0,27.0,22.0,11.0,7.0,4.0,4.0,3.0,2.0,34.0,18.0,15.0,6.0,6.0,3.0,5.0
12,1,Brisbane,Brisbane International,2017-01-04,ATP250,Outdoor,Hard,2nd Round,3,Wawrinka S.,Troicki V.,4,29.0,5315,1385.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.3,3.4,1.25,3.1,1.3,3.5,1.34,3.6,1.35,3.6,1.31,3.39,2017-M020,Brisbane,Hard,32,A,2017-01-04,286,104527,2.0,,Wawrinka S.,R,183.0,SUI,31.7672826831,4.0,5315.0,104678,,,Troicki V.,R,193.0,SRB,30.893908282,29.0,1385.0,7-6(5) 6-4,3,R16,89.0,7.0,2.0,64.0,41.0,33.0,15.0,11.0,0.0,1.0,5.0,7.0,71.0,46.0,39.0,8.0,11.0,3.0,5.0
13,1,Brisbane,Brisbane International,2017-01-05,ATP250,Outdoor,Hard,2nd Round,3,Dimitrov G.,Mahut N.,17,39.0,2035,1102.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.18,4.5,1.2,3.75,1.25,4.0,1.21,5.0,1.25,5.0,1.2,4.39,2017-M020,Brisbane,Hard,32,A,2017-01-05,290,105777,7.0,,Dimitrov G.,R,188.0,BUL,25.6344969199,17.0,2035.0,103917,,,Mahut N.,R,190.0,FRA,34.9486652977,39.0,1102.0,6-2 6-4,3,R16,65.0,8.0,0.0,46.0,27.0,25.0,12.0,9.0,3.0,3.0,4.0,3.0,52.0,37.0,27.0,4.0,9.0,0.0,3.0
14,1,Brisbane,Brisbane International,2017-01-05,ATP250,Outdoor,Hard,2nd Round,3,Thiem D.,Groth S.,8,180.0,3415,320.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.16,4.5,1.2,3.75,1.22,4.33,1.22,4.97,1.25,4.97,1.2,4.4,2017-M020,Brisbane,Hard,32,A,2017-01-05,291,106233,4.0,,Thiem D.,R,,AUT,23.3319644079,8.0,3415.0,105032,,WC,Groth S.,R,,AUS,29.2073921971,180.0,320.0,7-6(5) 6-3,3,R16,89.0,11.0,1.0,65.0,44.0,36.0,15.0,11.0,4.0,4.0,11.0,1.0,58.0,35.0,34.0,9.0,10.0,3.0,4.0
15,1,Brisbane,Brisbane International,2017-01-05,ATP250,Outdoor,Hard,2nd Round,3,Nadal R.,Zverev M.,9,51.0,3300,874.0,6.0,1.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.12,6.0,1.09,5.25,1.11,6.5,1.14,6.76,1.14,6.8,1.11,6.16,2017-M020,Brisbane,Hard,32,A,2017-01-05,292,104745,5.0,,Nadal R.,L,185.0,ESP,30.5845311431,9.0,3300.0,104999,,,Zverev M.,L,190.0,GER,29.3661875428,51.0,874.0,6-1 6-1,3,R16,55.0,1.0,2.0,38.0,18.0,15.0,15.0,7.0,2.0,2.0,2.0,2.0,38.0,25.0,13.0,3.0,7.0,3.0,8.0
16,2,Chennai,Chennai Open,2017-01-02,ATP250,Outdoor,Hard,1st Round,3,Darcis S.,Mektic N.,86,331.0,658,144.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.22,4.0,1.22,3.5,1.22,4.33,1.26,4.25,1.26,4.33,1.23,4.06,2017-0891,Chennai,Hard,32,A,2017-01-02,280,104327,,,Darcis S.,R,178.0,BEL,32.8076659822,86.0,658.0,105254,,Q,Mektic N.,R,,CRO,28.0246406571,331.0,144.0,6-2 6-3,3,R32,59.0,1.0,0.0,39.0,25.0,20.0,12.0,8.0,0.0,0.0,4.0,0.0,48.0,30.0,15.0,9.0,9.0,0.0,4.0
17,2,Chennai,Chennai Open,2017-01-02,ATP250,Outdoor,Hard,1st Round,3,Sela D.,Dzumhur D.,96,77.0,616,699.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.0,1.72,1.95,1.68,2.0,1.73,2.1,1.81,2.1,1.83,2.02,1.77,2017-0891,Chennai,Hard,32,A,2017-01-02,279,104534,,,Sela D.,R,175.0,ISR,31.7481177276,96.0,616.0,106000,,,Dzumhur D.,R,172.0,BIH,24.6214921287,77.0,699.0,6-2 6-2,3,R32,62.0,2.0,0.0,53.0,36.0,28.0,11.0,8.0,5.0,5.0,1.0,4.0,57.0,29.0,17.0,10.0,8.0,4.0,8.0
18,2,Chennai,Chennai Open,2017-01-02,ATP250,Outdoor,Hard,1st Round,3,Medvedev D.,Monteiro T.,99,82.0,611,674.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.18,4.5,1.17,4.0,1.18,4.33,1.25,4.36,1.25,4.7,1.21,4.3,2017-0891,Chennai,Hard,32,A,2017-01-02,283,106421,,,Medvedev D.,R,,RUS,20.8925393566,99.0,611.0,106329,,,Monteiro T.,L,,BRA,22.5927446954,82.0,674.0,6-3 6-3,3,R32,96.0,8.0,4.0,72.0,46.0,33.0,12.0,9.0,3.0,4.0,2.0,3.0,67.0,43.0,25.0,11.0,9.0,6.0,10.0
19,2,Chennai,Chennai Open,2017-01-02,ATP250,Outdoor,Hard,1st Round,3,Kovalik J.,Elias G.,117,81.0,501,675.0,6.0,7.0,6.0,4.0,6.0,2.0,,,,,2.0,1.0,Completed,1.44,2.62,1.45,2.4,1.48,2.5,1.57,2.55,1.57,2.75,1.5,2.55,2017-0891,Chennai,Hard,32,A,2017-01-02,284,106075,,Q,Kovalik J.,R,,SVK,24.1615331964,117.0,501.0,105671,,,Elias G.,R,178.0,POR,26.1081451061,81.0,675.0,6-7(5) 6-4 6-2,3,R32,140.0,4.0,1.0,101.0,63.0,47.0,21.0,15.0,5.0,6.0,7.0,2.0,90.0,47.0,34.0,24.0,15.0,3.0,7.0
20,2,Chennai,Chennai Open,2017-01-02,ATP250,Outdoor,Hard,1st Round,3,Chung H.,Coric B.,104,48.0,571,945.0,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.66,2.1,1.68,1.95,1.8,2.0,1.79,2.12,1.83,2.14,1.74,2.06,2017-0891,Chennai,Hard,32,A,2017-01-02,278,111202,,Q,Chung H.,R,,KOR,20.6242299795,104.0,571.0,106432,6.0,,Coric B.,R,,CRO,20.1341546886,48.0,945.0,6-3 7-5,3,R32,121.0,6.0,4.0,67.0,32.0,27.0,15.0,10.0,5.0,7.0,2.0,2.0,89.0,54.0,30.0,15.0,11.0,9.0,14.0
