,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
0,1,Brisbane,Brisbane International,2013-12-30,ATP250,Outdoor,Hard,1st Round,3,Matosevic M.,Benneteau J.,61,35.0,774,1160.0,5.0,7.0,6.0,4.0,7.0,6.0,,,,,2.0,1.0,Completed,1.72,2.0,1.8,2.0,1.91,1.8,1.88,2.01,1.91,1.8,2.0,2.1,1.82,1.94,2014-339,Brisbane,Hard,28,A,2013-12-30,2,104594,,,Matosevic M.,R,194.0,AUS,28.3942505133,61.0,774.0,103898,,,Benneteau J.,R,185.0,FRA,32.0273785079,35.0,1160.0,5-7 6-4 7-6(4),3,R32,161.0,11.0,3.0,112.0,68.0,43.0,26.0,17.0,5.0,9.0,14.0,1.0,117.0,76.0,51.0,18.0,17.0,7.0,11.0
1,1,Brisbane,Brisbane International,2013-12-30,ATP250,Outdoor,Hard,1st Round,3,Nieminen J.,Duckworth J.,39,136.0,1090,425.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.28,3.5,1.33,3.2,1.33,3.25,1.35,3.47,1.36,2.88,1.36,3.8,1.32,3.32,2014-339,Brisbane,Hard,28,A,2013-12-30,1,103813,,,Nieminen J.,L,185.0,FIN,32.4380561259,39.0,1090.0,105902,,WC,Duckworth J.,R,183.0,AUS,21.9411362081,136.0,425.0,6-2 6-3,3,R32,72.0,5.0,3.0,71.0,54.0,36.0,9.0,9.0,5.0,5.0,9.0,7.0,51.0,29.0,23.0,6.0,8.0,2.0,5.0
2,1,Brisbane,Brisbane International,2013-12-30,ATP250,Outdoor,Hard,1st Round,3,Cilic M.,Istomin D.,37,45.0,1130,965.0,6.0,7.0,7.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.36,3.0,1.4,2.9,1.44,2.62,1.39,3.22,1.4,2.75,1.44,3.55,1.39,2.93,2014-339,Brisbane,Hard,28,A,2013-12-30,11,105227,,,Cilic M.,R,198.0,CRO,25.2539356605,37.0,1130.0,104797,,,Istomin D.,R,188.0,UZB,27.3127994524,45.0,965.0,6-7(3) 7-6(5) 6-4,3,R32,142.0,14.0,7.0,111.0,59.0,51.0,27.0,17.0,2.0,2.0,8.0,2.0,100.0,56.0,45.0,29.0,17.0,2.0,3.0
3,1,Brisbane,Brisbane International,2013-12-30,ATP250,Outdoor,Hard,1st Round,3,Querrey S.,Tursunov D.,46,29.0,960,1244.0,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.9,1.8,1.9,1.85,1.91,1.8,1.99,1.9,1.91,1.8,2.1,1.91,1.92,1.83,2014-339,Brisbane,Hard,28,A,2013-12-30,3,105023,,,Querrey S.,R,198.0,USA,26.2313483915,46.0,960.0,104098,7.0,,Tursunov D.,R,185.0,RUS,31.0499657769,29.0,1244.0,7-5 6-4,3,R32,77.0,18.0,1.0,58.0,40.0,36.0,7.0,11.0,2.0,3.0,4.0,0.0,63.0,40.0,26.0,12.0,11.0,6.0,9.0
4,1,Brisbane,Brisbane International,2013-12-30,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Haase R.,23,43.0,1520,977.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.25,3.75,1.3,3.4,1.33,3.25,1.28,4.01,1.29,3.25,1.33,4.33,1.29,3.53,2014-339,Brisbane,Hard,28,A,2013-12-30,10,105777,5.0,,Dimitrov G.,R,188.0,BUL,22.6255989049,23.0,1520.0,104898,,,Haase R.,R,190.0,NED,26.7351129363,43.0,977.0,6-2 6-3,3,R32,58.0,6.0,1.0,43.0,23.0,21.0,15.0,9.0,0.0,0.0,2.0,1.0,56.0,39.0,24.0,8.0,8.0,5.0,8.0
5,1,Brisbane,Brisbane International,2013-12-31,ATP250,Outdoor,Hard,1st Round,3,Mahut N.,Sijsling I.,50,70.0,918,697.0,3.0,6.0,6.0,4.0,6.0,4.0,,,,,2.0,1.0,Completed,2.25,1.57,2.35,1.58,2.38,1.53,2.49,1.6,2.38,1.53,2.6,1.63,2.37,1.56,2014-339,Brisbane,Hard,28,A,2013-12-31,5,103917,,,Mahut N.,R,190.0,FRA,31.9397672827,50.0,918.0,104997,,,Sijsling I.,R,190.0,NED,26.3682409309,70.0,697.0,3-6 6-4 6-4,3,R32,107.0,15.0,4.0,100.0,59.0,46.0,18.0,15.0,4.0,6.0,13.0,2.0,78.0,50.0,43.0,12.0,14.0,2.0,4.0
6,1,Brisbane,Brisbane International,2013-12-31,ATP250,Outdoor,Hard,1st Round,3,Lopez F.,Kukushkin M.,28,67.0,1310,721.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.66,2.1,1.65,2.2,1.67,2.1,1.75,2.18,1.62,2.2,1.83,2.2,1.71,2.09,2014-339,Brisbane,Hard,28,A,2013-12-31,7,103852,6.0,,Lopez F.,L,188.0,ESP,32.2765229295,28.0,1310.0,105062,,,Kukushkin M.,R,183.0,KAZ,26.0123203285,67.0,721.0,6-4 6-4,3,R32,75.0,13.0,3.0,55.0,30.0,24.0,14.0,10.0,1.0,3.0,4.0,2.0,58.0,28.0,12.0,19.0,10.0,2.0,6.0
7,1,Brisbane,Brisbane International,2013-12-31,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Mannarino A.,34,59.0,1175,784.0,7.0,6.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.44,2.62,1.55,2.4,1.62,2.2,1.55,2.6,1.57,2.25,1.62,2.75,1.55,2.41,2014-339,Brisbane,Hard,28,A,2013-12-31,6,104871,8.0,,Chardy J.,R,188.0,FRA,26.8802190281,34.0,1175.0,105173,,,Mannarino A.,L,183.0,FRA,25.5030800821,59.0,784.0,7-6(4) 7-5,3,R32,109.0,10.0,2.0,76.0,50.0,34.0,15.0,12.0,4.0,7.0,4.0,3.0,88.0,54.0,31.0,17.0,12.0,5.0,9.0
8,1,Brisbane,Brisbane International,2013-12-31,ATP250,Outdoor,Hard,1st Round,3,Copil M.,Sugita Y.,147,170.0,369,310.0,7.0,6.0,6.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1.57,2.25,1.55,2.4,1.57,2.25,1.63,2.43,1.67,2.1,1.65,2.43,1.6,2.29,2014-339,Brisbane,Hard,28,A,2013-12-31,9,105657,,Q,Copil M.,R,193.0,ROU,23.2032854209,147.0,369.0,105216,,Q,Sugita Y.,R,,JPN,25.2813141684,170.0,310.0,7-6(5) 6-7(2) 7-6(7),3,R32,174.0,31.0,2.0,128.0,75.0,66.0,27.0,18.0,2.0,2.0,4.0,1.0,126.0,90.0,71.0,22.0,18.0,8.0,8.0
9,1,Brisbane,Brisbane International,2013-12-31,ATP250,Outdoor,Hard,1st Round,3,Hewitt L.,Kokkinakis T.,60,628.0,780,41.0,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.28,3.5,1.33,3.2,1.29,3.5,1.36,3.42,1.33,3.0,1.4,3.6,1.34,3.17,2014-339,Brisbane,Hard,28,A,2013-12-31,8,103720,,,Hewitt L.,R,180.0,AUS,32.8459958932,60.0,780.0,106423,,Q,Kokkinakis T.,R,,AUS,17.7221081451,628.0,41.0,6-3 7-5,3,R32,101.0,4.0,1.0,62.0,32.0,27.0,16.0,10.0,3.0,4.0,8.0,5.0,76.0,45.0,29.0,15.0,11.0,11.0,15.0
10,1,Brisbane,Brisbane International,2013-12-31,ATP250,Outdoor,Hard,1st Round,3,Groth S.,Harrison R.,172,100.0,307,549.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.75,1.4,2.5,1.5,2.75,1.4,2.94,1.45,2.63,1.44,2.95,1.53,2.72,1.43,2014-339,Brisbane,Hard,28,A,2013-12-31,4,105032,,WC,Groth S.,R,,AUS,26.1984941821,172.0,307.0,105992,,Q,Harrison R.,R,183.0,USA,21.6481861739,100.0,549.0,7-6(3) 7-6(2),3,R32,95.0,23.0,2.0,70.0,51.0,46.0,10.0,12.0,1.0,1.0,5.0,4.0,86.0,59.0,43.0,15.0,12.0,4.0,4.0
