,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
0,1,Brisbane,Brisbane International,2015-01-05,ATP250,Outdoor,Hard,1st Round,3,Duckworth J.,Simon G.,125.0,21.0,430.0,1730.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,4.5,1.18,4.3,1.2,4.33,1.2,4.67,1.23,4.73,1.23,4.31,1.2,2015-339,Brisbane,Hard,28,A,2015-01-05,3,105902,,WC,Duckworth J.,R,183.0,AUS,22.9568788501,125.0,430.0,104468,6.0,,Simon G.,R,183.0,FRA,30.0232717317,21.0,1730.0,6-2 6-2,3,R32,68.0,4.0,0.0,45.0,27.0,20.0,11.0,8.0,2.0,3.0,2.0,1.0,56.0,37.0,22.0,5.0,8.0,10.0,15.0
1,1,Brisbane,Brisbane International,2015-01-05,ATP250,Outdoor,Hard,1st Round,3,Kokkinakis T.,Benneteau J.,149.0,25.0,341.0,1365.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.62,1.44,2.6,1.48,2.62,1.44,2.67,1.53,2.8,1.53,2.62,1.47,2015-339,Brisbane,Hard,28,A,2015-01-05,10,106423,,WC,Kokkinakis T.,R,,AUS,18.7378507871,149.0,341.0,103898,8.0,,Benneteau J.,R,185.0,FRA,33.0431211499,25.0,1365.0,6-4 6-3,3,R32,75.0,9.0,1.0,52.0,30.0,25.0,14.0,10.0,1.0,2.0,5.0,3.0,52.0,33.0,23.0,7.0,9.0,1.0,4.0
2,1,Brisbane,Brisbane International,2015-01-05,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Golubev A.,31.0,72.0,1195.0,691.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.28,3.5,1.33,3.2,1.33,3.25,1.34,3.5,1.36,3.5,1.32,3.3,2015-339,Brisbane,Hard,28,A,2015-01-05,4,104871,,,Chardy J.,R,188.0,FRA,27.8959616701,31.0,1195.0,104979,,,Golubev A.,R,185.0,KAZ,27.4579055441,72.0,691.0,6-4 6-4,3,R32,69.0,7.0,1.0,53.0,39.0,31.0,11.0,10.0,0.0,0.0,9.0,2.0,57.0,38.0,30.0,8.0,10.0,1.0,3.0
3,1,Brisbane,Brisbane International,2015-01-05,ATP250,Outdoor,Hard,1st Round,3,Tomic B.,Querrey S.,53.0,35.0,797.0,1090.0,7.0,5.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.57,2.25,1.6,2.3,1.62,2.2,1.65,2.37,1.67,2.37,1.61,2.25,2015-339,Brisbane,Hard,28,A,2015-01-05,11,106071,,,Tomic B.,R,193.0,AUS,22.2067077344,53.0,797.0,105023,,,Querrey S.,R,198.0,USA,27.2470910335,35.0,1090.0,7-5 7-6(5),3,R32,83.0,5.0,0.0,77.0,46.0,36.0,21.0,12.0,4.0,5.0,20.0,3.0,70.0,42.0,35.0,14.0,12.0,4.0,6.0
4,1,Brisbane,Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Kukushkin M.,Copil M.,69.0,201.0,705.0,242.0,6.0,4.0,4.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.53,2.37,1.5,2.5,1.44,2.62,1.48,2.84,1.58,2.84,1.5,2.53,2015-339,Brisbane,Hard,28,A,2015-01-06,9,105062,,,Kukushkin M.,R,183.0,KAZ,27.0280629706,69.0,705.0,105657,,Q,Copil M.,R,193.0,ROU,24.219028063,201.0,242.0,6-4 4-6 6-4,3,R32,113.0,3.0,1.0,84.0,56.0,42.0,16.0,15.0,1.0,3.0,17.0,2.0,89.0,56.0,46.0,15.0,15.0,3.0,6.0
5,1,Brisbane,Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Kubot L.,Anderson K.,177.0,16.0,282.0,2080.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,3.5,1.28,3.5,1.28,3.5,1.29,4.06,1.28,4.06,1.3,3.58,1.28,2015-339,Brisbane,Hard,28,A,2015-01-06,7,103997,,Q,Kubot L.,R,190.0,POL,32.6406570842,177.0,282.0,104731,5.0,,Anderson K.,R,203.0,RSA,28.6351813826,16.0,2080.0,7-6(3) 6-4,3,R32,110.0,6.0,5.0,78.0,51.0,35.0,14.0,11.0,3.0,5.0,12.0,3.0,76.0,43.0,30.0,17.0,11.0,4.0,7.0
6,1,Brisbane,Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Johnson S.,Matosevic M.,37.0,77.0,999.0,657.0,2.0,6.0,7.0,6.0,7.0,5.0,,,,,2.0,1.0,Completed,2.0,1.72,2.05,1.72,1.91,1.8,2.14,1.78,2.16,1.84,2.03,1.74,2015-339,Brisbane,Hard,28,A,2015-01-06,12,105449,,,Johnson S.,R,188.0,USA,25.0321697467,37.0,999.0,104594,,,Matosevic M.,R,194.0,AUS,29.4099931554,77.0,657.0,2-6 7-6(0) 7-5,3,R32,136.0,14.0,3.0,95.0,58.0,45.0,24.0,16.0,4.0,6.0,10.0,5.0,106.0,68.0,51.0,19.0,16.0,3.0,4.0
7,1,Brisbane,Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Nieminen J.,Kudla D.,73.0,123.0,689.0,440.0,4.0,6.0,6.0,1.0,6.0,4.0,,,,,2.0,1.0,Completed,1.66,2.1,1.7,2.1,1.53,2.38,1.69,2.29,1.71,2.5,1.65,2.19,2015-339,Brisbane,Hard,28,A,2015-01-06,2,103813,,,Nieminen J.,L,185.0,FIN,33.453798768,73.0,689.0,106045,,Q,Kudla D.,R,180.0,USA,22.3846680356,123.0,440.0,4-6 6-1 6-4,3,R32,104.0,4.0,0.0,92.0,59.0,39.0,17.0,14.0,4.0,7.0,6.0,1.0,83.0,50.0,26.0,19.0,13.0,3.0,8.0
8,1,Brisbane,Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Klizan M.,Melzer J.,34.0,110.0,1094.0,505.0,6.0,7.0,7.0,6.0,6.0,1.0,,,,,2.0,1.0,Completed,1.66,2.1,1.7,2.1,1.57,2.25,1.74,2.2,1.77,2.3,1.66,2.16,2015-339,Brisbane,Hard,28,A,2015-01-06,5,105373,,,Klizan M.,L,190.0,SVK,25.4866529774,34.0,1094.0,103781,,,Melzer J.,L,183.0,AUT,33.6235455168,110.0,505.0,6-7(5) 7-6(6) 6-1,3,R32,144.0,9.0,4.0,130.0,79.0,55.0,27.0,16.0,6.0,8.0,4.0,4.0,95.0,62.0,40.0,19.0,15.0,4.0,8.0
9,1,Brisbane,Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Millman J.,Williams R.,153.0,220.0,328.0,221.0,6.0,3.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.4,2.75,1.45,2.7,1.4,2.75,1.49,2.8,1.5,2.8,1.44,2.7,2015-339,Brisbane,Hard,28,A,2015-01-06,1,105357,,WC,Millman J.,R,183.0,AUS,25.5605749487,153.0,328.0,105733,,Q,Williams R.,R,,USA,23.7919233402,220.0,221.0,6-3 6-1,3,R32,65.0,6.0,2.0,44.0,24.0,19.0,14.0,8.0,1.0,1.0,3.0,4.0,50.0,31.0,20.0,5.0,8.0,1.0,5.0
