,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
587,24,Barcelona,Open Banco Sabadell ,2009-04-20,ATP500,Outdoor,Clay,1st Round,3,Martin A.,Gicquel M.,102,53.0,831,1223.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.8,1.9,1.76,2.06,1.72,2.0,1.833,1.833,1.84,1.93,2009-425,Barcelona,Clay,56,A,2009-04-20,14,103252,,WC,Martin A.,R,175.0,ESP,30.6666666667,102.0,831.0,102967,,,Gicquel M.,R,188.0,FRA,32.0574948665,53.0,1223.0,6-3 6-4,3,R64,83.0,4.0,3.0,60.0,37.0,26.0,12.0,10.0,5.0,8.0,1.0,0.0,70.0,48.0,25.0,8.0,9.0,8.0,13.0
588,24,Barcelona,Open Banco Sabadell ,2009-04-20,ATP500,Outdoor,Clay,1st Round,3,Starace P.,Gulbis E.,101,42.0,838,1393.0,4.0,6.0,6.0,3.0,6.0,3.0,,,,,2.0,1.0,Completed,2.0,1.72,2.2,1.67,2.0,1.72,2.1,1.667,2.06,1.72,2009-425,Barcelona,Clay,56,A,2009-04-20,17,103808,,,Starace P.,R,188.0,ITA,27.7672826831,101.0,838.0,105208,,,Gulbis E.,R,190.0,LAT,20.6379192334,42.0,1393.0,4-6 6-3 6-3,3,R64,105.0,1.0,1.0,74.0,51.0,34.0,17.0,14.0,5.0,8.0,1.0,4.0,91.0,59.0,36.0,15.0,14.0,4.0,9.0
589,24,Barcelona,Open Banco Sabadell ,2009-04-20,ATP500,Outdoor,Clay,1st Round,3,Almagro N.,Hanescu V.,22,35.0,1980,1566.0,3.0,6.0,7.0,6.0,2.0,2.0,,,,,1.0,1.0,Retired,1.3,3.4,1.4,2.95,1.36,3.0,1.333,3.0,1.35,3.1,2009-425,Barcelona,Clay,56,A,2009-04-20,4,104597,10.0,,Almagro N.,R,183.0,ESP,23.6632443532,22.0,1980.0,103812,,,Hanescu V.,R,198.0,ROU,27.7481177276,35.0,1566.0,3-6 7-6(7) 2-2 RET,3,R64,122.0,8.0,3.0,78.0,46.0,37.0,16.0,12.0,4.0,5.0,5.0,1.0,95.0,67.0,46.0,16.0,13.0,6.0,6.0
590,24,Barcelona,Open Banco Sabadell ,2009-04-21,ATP500,Outdoor,Clay,1st Round,3,Hernandez O.,Schwank E.,68,54.0,1004,1185.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.53,2.37,1.55,2.4,1.615,2.2,1.667,2.1,1.58,2.33,2009-425,Barcelona,Clay,56,A,2009-04-21,23,103169,,,Hernandez O.,R,180.0,ESP,31.0280629706,68.0,1004.0,104724,,,Schwank E.,R,183.0,ARG,22.9924709103,54.0,1185.0,6-2 6-4,3,R64,78.0,5.0,0.0,49.0,34.0,22.0,11.0,9.0,0.0,2.0,1.0,3.0,54.0,33.0,17.0,8.0,9.0,6.0,11.0
591,24,Barcelona,Open Banco Sabadell ,2009-04-21,ATP500,Outdoor,Clay,1st Round,3,Clement A.,Canas G.,57,113.0,1144,751.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,3.25,1.36,3.07,1.38,3.0,1.364,2.875,1.364,2.96,1.38,2009-425,Barcelona,Clay,56,A,2009-04-21,7,103096,,,Clement A.,R,173.0,FRA,31.3401779603,57.0,1144.0,103084,,,Canas G.,R,185.0,ARG,31.4004106776,113.0,751.0,7-6(0) 6-3,3,R64,113.0,5.0,1.0,60.0,44.0,36.0,6.0,10.0,2.0,4.0,2.0,2.0,76.0,41.0,24.0,16.0,11.0,6.0,10.0
592,24,Barcelona,Open Banco Sabadell ,2009-04-21,ATP500,Outdoor,Clay,1st Round,3,Gaudio G.,Junqueira D.,966,77.0,18,965.0,6.0,4.0,3.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,2.2,1.57,2.25,1.65,2.0,1.72,2.1,1.667,2.15,1.67,2009-425,Barcelona,Clay,56,A,2009-04-21,13,103292,,WC,Gaudio G.,R,175.0,ARG,30.3627652293,966.0,18.0,103675,,,Junqueira D.,L,178.0,ARG,28.3093771389,77.0,965.0,6-4 3-6 6-4,3,R64,134.0,5.0,2.0,100.0,62.0,36.0,20.0,14.0,6.0,11.0,3.0,3.0,83.0,50.0,31.0,15.0,15.0,1.0,7.0
593,24,Barcelona,Open Banco Sabadell ,2009-04-21,ATP500,Outdoor,Clay,1st Round,3,Lopez F.,Nieminen J.,33,50.0,1590,1240.0,6.0,2.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.72,2.0,1.8,2.0,1.8,1.909,1.8,1.909,1.77,2.0,2009-425,Barcelona,Clay,56,A,2009-04-21,9,103852,16.0,,Lopez F.,L,188.0,ESP,27.5811088296,33.0,1590.0,103813,,,Nieminen J.,L,185.0,FIN,27.742642026,50.0,1240.0,6-2 6-1,3,R64,52.0,8.0,3.0,40.0,23.0,19.0,11.0,7.0,2.0,2.0,3.0,2.0,44.0,28.0,15.0,5.0,8.0,1.0,6.0
594,24,Barcelona,Open Banco Sabadell ,2009-04-21,ATP500,Outdoor,Clay,1st Round,3,Youzhny M.,Troicki V.,72,36.0,985,1527.0,6.0,7.0,7.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,1.9,1.8,2.1,1.75,1.909,1.8,1.833,1.833,2.0,1.78,2009-425,Barcelona,Clay,56,A,2009-04-21,12,104022,,,Youzhny M.,R,183.0,RUS,26.8199863107,72.0,985.0,104678,,,Troicki V.,R,193.0,SRB,23.189596167,36.0,1527.0,6-7(5) 7-6(6) 6-3,3,R64,164.0,1.0,1.0,121.0,90.0,61.0,13.0,17.0,3.0,7.0,13.0,2.0,121.0,78.0,53.0,20.0,16.0,9.0,14.0
595,24,Barcelona,Open Banco Sabadell ,2009-04-21,ATP500,Outdoor,Clay,1st Round,3,Soderling R.,Gabashvili T.,24,67.0,1850,1036.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.42,2.89,1.4,2.75,1.4,2.75,1.4,2.88,2009-425,Barcelona,Clay,56,A,2009-04-21,16,104417,14.0,,Soderling R.,R,193.0,SWE,24.681724846,24.0,1850.0,104559,,,Gabashvili T.,R,188.0,RUS,23.909650924,67.0,1036.0,6-1 6-4,3,R64,61.0,7.0,2.0,50.0,33.0,25.0,11.0,9.0,1.0,2.0,3.0,2.0,47.0,27.0,15.0,9.0,8.0,4.0,8.0
596,24,Barcelona,Open Banco Sabadell ,2009-04-21,ATP500,Outdoor,Clay,1st Round,3,Monaco J.,Safin M.,58,20.0,1130,2105.0,6.0,4.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.44,2.62,1.45,2.8,1.444,2.625,1.444,2.625,1.46,2.62,2009-425,Barcelona,Clay,56,A,2009-04-21,21,104338,,,Monaco J.,R,185.0,ARG,25.0595482546,58.0,1130.0,103498,11.0,,Safin M.,R,193.0,RUS,29.2292950034,20.0,2105.0,6-4 6-1,3,R64,66.0,2.0,1.0,52.0,41.0,33.0,6.0,9.0,2.0,2.0,1.0,0.0,45.0,20.0,12.0,15.0,8.0,2.0,5.0
