,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
363,18,Dubai ,Dubai Tennis Championships,2013-02-26,ATP500,Outdoor,Hard,1st Round,3,Hanescu V.,Tomic B.,58.0,45.0,778.0,920.0,3.0,2.0,,,,,,,,,0.0,0.0,Retired,5.0,1.16,5,1.15,4.5,1.17,5.3,1.19,5.0,1.17,6.7,1.2,4.95,1.17,2013-495,Dubai,Hard,32,A,2013-02-26,14,103812,,,Hanescu V.,R,198.0,ROU,31.6002737851,58.0,778.0,106071,,,Tomic B.,R,193.0,AUS,20.34770705,45.0,920.0,3-2 RET,3,R32,23.0,1.0,0.0,9.0,7.0,7.0,1.0,2.0,0.0,0.0,2.0,2.0,26.0,12.0,8.0,5.0,3.0,3.0,4.0
364,18,Dubai ,Dubai Tennis Championships,2013-02-26,ATP500,Outdoor,Hard,1st Round,3,Granollers M.,Montanes A.,34.0,89.0,1125.0,575.0,6.0,3.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.25,3.75,1.3,3.3,1.25,3.75,1.27,4.1,1.33,3.25,1.33,4.1,1.27,3.66,2013-495,Dubai,Hard,32,A,2013-02-26,15,104719,,,Granollers M.,R,190.0,ESP,26.8747433265,34.0,1125.0,103656,,,Montanes A.,R,175.0,ESP,32.2491444216,89.0,575.0,6-3 6-1,3,R32,64.0,6.0,4.0,52.0,34.0,26.0,8.0,8.0,2.0,3.0,0.0,2.0,53.0,28.0,13.0,11.0,8.0,4.0,9.0
365,18,Dubai ,Dubai Tennis Championships,2013-02-26,ATP500,Outdoor,Hard,1st Round,3,Tursunov D.,Hajek J.,92.0,94.0,562.0,544.0,4.0,6.0,6.0,1.0,6.0,2.0,,,,,2.0,1.0,Completed,1.4,2.75,1.45,2.65,1.36,3.0,1.53,2.67,1.44,2.75,1.55,3.0,1.46,2.65,2013-495,Dubai,Hard,32,A,2013-02-26,10,104098,,WC,Tursunov D.,R,185.0,RUS,30.2067077344,92.0,562.0,104225,,,Hajek J.,R,180.0,CZE,29.5550992471,94.0,544.0,4-6 6-1 6-2,3,R32,84.0,12.0,3.0,69.0,40.0,35.0,13.0,13.0,0.0,2.0,7.0,2.0,75.0,54.0,34.0,7.0,12.0,3.0,8.0
366,18,Dubai ,Dubai Tennis Championships,2013-02-26,ATP500,Outdoor,Hard,1st Round,3,Berdych T.,Ram R.,6.0,103.0,4545.0,521.0,6.0,1.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.04,13.0,1.04,9.0,1.04,9.0,1.04,14.79,1.06,8.5,1.06,16.0,1.04,11.1,2013-495,Dubai,Hard,32,A,2013-02-26,12,104607,3.0,,Berdych T.,R,196.0,CZE,27.4414784394,6.0,4545.0,104330,,WC,Ram R.,R,193.0,USA,28.9418206708,103.0,521.0,6-1 6-3,3,R32,55.0,5.0,2.0,38.0,25.0,22.0,10.0,8.0,0.0,0.0,3.0,4.0,50.0,27.0,19.0,6.0,8.0,0.0,4.0
367,18,Dubai ,Dubai Tennis Championships,2013-02-26,ATP500,Outdoor,Hard,1st Round,3,Djokovic N.,Troicki V.,1.0,44.0,12960.0,925.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.02,19.0,1.02,12.0,1.01,17.0,1.02,21.97,1.03,12.0,1.03,31.0,1.02,16.54,2013-495,Dubai,Hard,32,A,2013-02-26,1,104925,1.0,,Djokovic N.,R,188.0,SRB,25.7659137577,1.0,12960.0,104678,,,Troicki V.,R,193.0,SRB,27.0417522245,44.0,925.0,6-1 6-4,3,R32,68.0,1.0,2.0,50.0,28.0,23.0,13.0,9.0,0.0,1.0,6.0,1.0,58.0,31.0,19.0,9.0,8.0,5.0,9.0
368,18,Dubai ,Dubai Tennis Championships,2013-02-27,ATP500,Outdoor,Hard,2nd Round,3,Brands D.,Youzhny M.,97.0,31.0,542.0,1210.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.87,1.38,2.8,1.4,2.75,1.4,3.02,1.44,2.75,1.44,3.25,1.44,2.84,1.41,2013-495,Dubai,Hard,32,A,2013-02-27,20,104978,,Q,Brands D.,R,196.0,GER,25.6125941136,97.0,542.0,104022,8.0,,Youzhny M.,R,183.0,RUS,30.6721423682,31.0,1210.0,6-4 6-4,3,R16,64.0,13.0,2.0,50.0,32.0,28.0,10.0,10.0,0.0,1.0,2.0,7.0,56.0,29.0,22.0,12.0,10.0,8.0,11.0
369,18,Dubai ,Dubai Tennis Championships,2013-02-27,ATP500,Outdoor,Hard,2nd Round,3,Davydenko N.,Hanescu V.,46.0,58.0,915.0,778.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.14,5.5,1.18,4.5,1.14,5.0,1.15,6.35,1.17,5.0,1.18,6.4,1.16,5.17,2013-495,Dubai,Hard,32,A,2013-02-27,23,103786,,,Davydenko N.,R,178.0,RUS,31.7344284736,46.0,915.0,103812,,,Hanescu V.,R,198.0,ROU,31.6002737851,58.0,778.0,6-4 7-6(2),3,R16,108.0,2.0,4.0,85.0,64.0,46.0,10.0,11.0,10.0,11.0,3.0,1.0,84.0,55.0,33.0,17.0,11.0,6.0,8.0
370,18,Dubai ,Dubai Tennis Championships,2013-02-27,ATP500,Outdoor,Hard,2nd Round,3,Berdych T.,Kamke T.,6.0,90.0,4545.0,567.0,7.0,5.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.04,13.0,1.06,8.0,1.06,8.0,1.05,13.0,1.05,10.0,1.08,15.0,1.05,10.01,2013-495,Dubai,Hard,32,A,2013-02-27,22,104607,3.0,,Berdych T.,R,196.0,CZE,27.4414784394,6.0,4545.0,104735,,,Kamke T.,R,180.0,GER,26.7679671458,90.0,567.0,7-5 6-1,3,R16,97.0,3.0,3.0,63.0,39.0,31.0,10.0,10.0,12.0,14.0,5.0,3.0,76.0,45.0,25.0,9.0,9.0,8.0,13.0
371,18,Dubai ,Dubai Tennis Championships,2013-02-27,ATP500,Outdoor,Hard,2nd Round,3,Seppi A.,Rosol L.,20.0,61.0,1730.0,749.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.35,3.0,1.4,2.75,1.42,3.14,1.4,2.88,1.44,3.3,1.37,3.01,2013-495,Dubai,Hard,32,A,2013-02-27,18,104312,7.0,,Seppi A.,R,190.0,ITA,29.0130047912,20.0,1730.0,104586,,,Rosol L.,R,196.0,CZE,27.5920602327,61.0,749.0,6-4 7-6(4),3,R16,84.0,4.0,5.0,68.0,41.0,32.0,13.0,11.0,3.0,5.0,5.0,4.0,81.0,45.0,30.0,17.0,11.0,4.0,7.0
372,18,Dubai ,Dubai Tennis Championships,2013-02-27,ATP500,Outdoor,Hard,2nd Round,3,Tursunov D.,Llodra M.,92.0,67.0,562.0,703.0,7.0,6.0,2.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,2.87,1.38,2.8,1.4,2.75,1.4,2.84,1.49,2.75,1.44,3.15,1.49,2.77,1.43,2013-495,Dubai,Hard,32,A,2013-02-27,21,104098,,WC,Tursunov D.,R,185.0,RUS,30.2067077344,92.0,562.0,103566,,,Llodra M.,L,190.0,FRA,32.7748117728,67.0,703.0,7-6(5) 2-6 6-3,3,R16,110.0,3.0,7.0,96.0,49.0,38.0,23.0,15.0,4.0,7.0,7.0,3.0,76.0,41.0,35.0,20.0,14.0,1.0,3.0
373,18,Dubai ,Dubai Tennis Championships,2013-02-27,ATP500,Outdoor,Hard,2nd Round,3,Federer R.,Granollers M.,2.0,34.0,9855.0,1125.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.04,13.0,1.03,10.0,1.03,10.0,1.04,16.0,1.05,10.0,1.05,16.0,1.03,11.64,2013-495,Dubai,Hard,32,A,2013-02-27,24,103819,2.0,,Federer R.,R,185.0,SUI,31.5509924709,2.0,9855.0,104719,,,Granollers M.,R,190.0,ESP,26.8747433265,34.0,1125.0,6-3 6-4,3,R16,71.0,2.0,1.0,63.0,38.0,32.0,13.0,10.0,3.0,3.0,3.0,3.0,53.0,30.0,24.0,10.0,9.0,4.0,6.0
374,18,Dubai ,Dubai Tennis Championships,2013-02-28,ATP500,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Seppi A.,1.0,20.0,12960.0,1730.0,6.0,0.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.02,17.0,1.03,10.0,1.04,9.0,1.03,19.0,1.04,10.0,1.05,24.0,1.03,13.43,2013-495,Dubai,Hard,32,A,2013-02-28,25,104925,1.0,,Djokovic N.,R,188.0,SRB,25.7659137577,1.0,12960.0,104312,7.0,,Seppi A.,R,190.0,ITA,29.0130047912,20.0,1730.0,6-0 6-3,3,QF,65.0,6.0,4.0,52.0,28.0,25.0,11.0,8.0,1.0,1.0,1.0,2.0,48.0,24.0,12.0,10.0,7.0,4.0,8.0
